FeatureName,DepositName,SiteName,Region,NGR,East,North,SiteLocation,RelationToNearestSummit,LandscapeZone,ApproxHeight ASL (m),CountrysideCharacterArea2012,LocationType,RelationToLocalSites,SiteDescription,DiameterRoundSites,SiteType,FeatureType,FeatureOrientation,FeatureDimensions,FeatureLength(cm),FeatureWidth(cm),FeatureDepth(cm),FeatureLocation,LocationRelToCentre,FeatureDescription,AssociatedFeatures,TreatmentOfRemains,MaterialsInDeposit,ArrangementOfDeposit,HeadSideFace,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfIndsWithinDeposit,OtherSkeletalInformation,AccessionTWAMHumanRemains,BoneAnalysisUsed,ArtefactsInDepositList,ArtefactDescriptions,VesselType,RefinedTypologies,VesselIllustrations,OtherFindIllustrations,DatingOfDeposit,DatingOfHumanRemains,EstimatedDateRange(Fowler2012),PrimaryReferences,DecadeOfExcavation,OtherNotes,Excavator,UsedforFowler2013?,UsedforRitualChanges Analysis?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington cist 2,Bedlington cist 2,Bedlington cist 2,Northumberland,NZ2626081490,426260,581490,Ridge with wide view,East,Low hills at edge of river valley,50m,South East Northumberland Coastal Plain,Hillside with river view,One of a group of 5 cists (possibility exists that barrow was levelled as the top of the ridge was 'levelled off' in preparation for building estate. Cist 2 was 18m ESE from cist 1,"Cist, orientation not recorded",No mound recorded,Cist in cemetery,Cist,Not recorded,".72m long, .4m wide, .32 deep.",72,40,32,Not recorded,N/a,"Cist, few details recorded",One of 5 cists,"Uncremated burial, ?crouched",Inwash of soil and water inferred by excavator,Not recorded,?,Indet.,Indet.,Indet. ,None given,N,Excavation report,Beaker,,Beaker,"SN (ECN), N3",Y,N/a,N,N,2300-2100 BC,"Purvis, J.B. 1946. A Group of Prehistoric Graves at Bedlington. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series) 10, 322-4.",1930s,,Reported in 1946 by Purvis from 1934 discovery,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington cist 3,Bedlington cist 3,Bedlington cist 3,Northumberland,NZ2626081490,426260,581490,Ridge with wide view,East,Low hills at edge of river valley,50m,South East Northumberland Coastal Plain,Hillside with river view,One of a group of 5 cists (possibility exists that barrow was levelled as the top of the ridge was 'levelled off' in preparation for building estate. 16.6m from cist 2 and 10m from cist 1,"Cist, orientation not recorded",No mound recorded,Cist in cemetery,Cist,Not recorded,"""large chamber""'",?,?,?,Not recorded,N/a,"Cist, few details recorded",One of 5 cists,Burnt bones: cremation?,None mentioned,Not recorded,?,Not recorded,Not recorded,not recorded,None given,N,Excavation report,Flint knife ,,N/a,?,N/a,N/a,N,N,2300-1750 BC,"Purvis, J.B. 1946. A Group of Prehistoric Graves at Bedlington. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series) 10, 322-4.",1930s,,Reported in 1946 by Purvis from 1934 discovery,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington cist 4,Bedlington cist 4,Bedlington cist 4,Northumberland,NZ2626081490,426260,581490,Ridge with wide view,East,Low hills at edge of river valley,50m,South East Northumberland Coastal Plain,Hillside with river view,One of a group of 5 cists (possibility exists that barrow was levelled as the top of the ridge was 'levelled off' in preparation for building estate,"Cist, orientation not recorded",No mound recorded,Cist in cemetery,Cist,Not recorded,"""small""",?,?,?,Not recorded,N/a,"Cist, few details recorded",One of 5 cists,Cremation,None mentioned,Not recorded,N/a,Indet.,Not recorded,not recorded,None given,N,Excavation report,Food Vessel described as 'earthenware pot',,Food Vessel,"Bipartite Vase Food Vessel (with shoulder groove), Gibson n57",Y (in Gibson 1978),N/a,N,N,2150-1750 BC,"Purvis, J.B. 1946. A Group of Prehistoric Graves at Bedlington. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series) 10, 322-4.",1930s,,Reported in 1946 by Purvis from 1934 discovery,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedlington cist 5,Bedlington cist 5,Bedlington cist 5,Northumberland,NZ2626081490,426260,581490,Ridge with wide view,East,Low hills at edge of river valley,50m,South East Northumberland Coastal Plain,Hillside with river view,"One of a group of 5 cists (possibility exists that barrow was levelled as the top of the ridge was 'levelled off' in preparation for building estate. Lay ""in the centre of the triangle formed by the first three cists""","Cist, orientation not recorded",No mound recorded,Cist in cemetery,Cist,Not recorded,Not recorded,?,?,?,Not recorded,N/a,"Cist, few details recorded",One of 5 cists,Crouched burial,None mentioned,Not recorded,N/a,1,Not recorded,Adult (but not recorded),"The skeleton was mostly intact but ""with the pelvic bones dissolved"" yet there is no discussion of age, size etc.",N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,2300-1750 BC,"Purvis, J.B. 1946. A Group of Prehistoric Graves at Bedlington. Proceedings of the Society of Antiquaries of Newcastle Upon Tyne (4th Series) 10, 322-4.",1930s,,Reported in 1946 by Purvis from 1934 discovery,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benthall cist 1,Benthall cist 1 ,Benthall round cairn,Northumberland,NU237289,423700,628900,Located on promontory ,N/a,Coastal ,5m or less,North Northumberland Coastal Plain,Coastal,One of two cists,"Round cairn. The site is recorded as a low cairn, and the cists described as only at its edge. The cairn was ""a mound which appears to consist of water-worn boulders, pebbles and sand…""",Not recorded,Round cairn,Cist,ESE-WNW,.9m by .55m wide by .45m deep,90,55,45,Under edge of cairn,Not recorded,Cist oriented East South East-West North West. Flagstones at base of cist,One other cist in cairn,Crouched burial?,Layer of intrusive sand and soil,"Not possible to say as bones were removed by discoverers, then returned to cist for examination by excavator. However, at the base of the fill, on flagstones, a cluster of teeth were found at the W end of the cist",Head to W,1,Male (?),Adult,None,N,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,2300-1750 BC,"Askew, G. 1938. Report on the Excavation of Two Bronze Age Burials at Benthall, Northumberland. Archaeologia Aeliana (4th Series) 15, 149-55.",1930s,,G Askew,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benthall cist 2,Benthall cist 2,Benthall round cairn,Northumberland,NU237289,423700,628900,Located on promontory ,N/a,Coastal ,5m or less,North Northumberland Coastal Plain,Coastal,One of two cists,"Round cairn. The site is recorded as a low cairn, and the cists described as only at its edge. The cairn was ""a mound which appears to consist of water-worn boulders, pebbles and sand…""",Not recorded,Round cairn,Cist,E-W,".85m by .55m wide, by .6m deep",85,55,60,Under edge of cairn,Not recorded,"Cist oriented East-West, in pit. Floor of the cist described as ""pebbles bedded… in clay"" One side was of a single flat stone on edge, the other sides had a single flat stone on edge, but then dry-stone walling to bring it to the same height",One other cist in cairn,Crouched burial,"Cist was filled with ""a quantity of damp sand mixed with earth"" which excavator took as intrusive. Body lain near the bottom of the cist","Body was laid crouched on right side, head to the W, facing S. Food Vessel found at SE corner of cist",WRS,1,Female (?),Adult,"No complete bones, one bone not human",N,Excavation report,Food Vessel,,Vase Food Vessel,"Bipartite Vase Food Vessel (with shoulder groove), Gibson n51 ",N,N/a,N,N,2150-1750 BC,"Askew, G. 1938. Report on the Excavation of Two Bronze Age Burials at Benthall, Northumberland. Archaeologia Aeliana (4th Series) 15, 149-55.",1930s,,G Askew,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewes Hill (Stargate),Bewes Hill cist,Bewes Hill cist,Tyne & Wear,NZ17076301,417070,563010,In river valley/along course of tributary to the Tyne,North East,Hillside at edge of valley in low hills,60m,Tyne & Wear Lowlands,Hillside near to stream,Isolated,"Cist, details unclear, but a groove is recorded to the underside of the cover slab",No mound recorded,Solo cist,Cist,?,Not recorded,?,?,?,Unclear,N/a,"Cist, few details recorded",None mentioned,Uncremated remains,None mentioned,Not recorded,?,1 (?),Male (?),"Adult, 22-32 years","While an envelope in the archive states '16 June 62 ** Robert ** Cowper L.D.S. tells me this BA skeleton ""is a male with an upper age limit of twenty five years', another hand adds ""This may be true of one of them' NEW 7/1/72"" and a later report on the bones ""received 3.9.71 from Dr D.J. Smith"" cites four MNI in this collection. I think that some of these are the Summerhill (Blaydon) cist contents, and three skulls are marked with either Blaydon or 'Sandpit Newburn'. See Gamble and Fowler in press for explanation attributing this set of remains to Bewes Hill cist.",Y,Michelle Gamble 2011,"Flint knife (flint flake also ""associated with cist"")","Retouched flint knife, 6cm long",N/a,?,N/a,Flint knife,N,N,?2200-1750?,"Miket, R. 1984. The Prehistory of Tyne and Wear: An Inventory of Prehistoric Discoveries in the Metropolitan County of Tyne and Wear. Wooler: Northumberland Archaeology Group.",1930s,,"Reported in Miket, letters by Cocks",Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birkside Fell cairn pit,Birkside Fell cairn pit cremation deposit,Birkside Fell cairn,Northumberland,NY934512,393400,551200,"On NW end of shoulder of hill, with ground sloping down to the W, but up to the N, E and S. Within 200m of head of stream",North East,Upland,380m,North Pennines,Upland near to stream (sources),Isolated,"Round cairn or ring cairn with kerbed façade. External diameter 4m. The boulders that define the façade include two quartz boulders - one is the stone to the most SE point of the cairn, the other the most SW point",4m,Kerbed cairn,Pit,NEE-SSW,".75m by .5m wide, .45m deep",75,50,45,Just SE of centre of area enclosed by cairn,South East,Subrectangular pit just large enough to accommodate vessel,"None. Over the top of the urn and pit was a dense lens of charcoal, which the excavator identifies as a burnt plank covering the deposit",Multiple cremation,"Charcoal from ash (sp. fraxinus) found in urn and pit. Sequence of fills in vessel: cremated bone at base, mixture of cremated bone and charcoal, lens of burnt wood, then sandy soils commensurate with local subsoil","Vessel stood upright in pit, and was probably covered with a burnt or burning wooden lid. Sequence of fills in vessel: cremated bone at base, mixture of cremated bone and charcoal in a grey-brown soil, a lens of burnt wood, then sandy soils commensurate with local subsoil.",N/a,2,"Male (1), indet. (1)","Adult (2): one adult 35-44, one adult 20-40.",It is not possible to say which of the age estimates belongs to the male. The male is estimated to have been 1.76m tall,N,Excavation report,"Collared Urn, flake of ""ginger-brown"" flint with cortex, possibly rudimentary blade","Vessel 43cm tall and 31cm wide at mouth, heavily decorated collar and cavetto zone to shoulder. Longworth secondary series",Collared Urn,Collared Urn,Y,Y,"2035-1745 cal BC (Beta-119667) and 1965-1675 cal BC (Beta-119668) (both from the ash charcoal, 95.4% probability)",N,2000-1700 BC,"Tolan-Smith, C. 2005. A Cairn on Birkside Fell: Excavations in 1996 and 1997. Archaeologia Aeliana (5th Series) 34, 55-65.",1990s,,C Tolan-Smith,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawaerie cairn 1 pyre pit,Blawaerie cairn 1 cremation deposit 1,"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Pit,N/a,".55m diameter, .3m deep",55,55,30,Immediately outside the SW perimeter of the kerb. The pit was covered with a small semi-circular cairn of sandstone cobbles which merged into the cairn (kerbstones missing from this area of the kerb),South West,"Unclear whether or not this pit contains an in situ set of bones left from a pyre. The pit is divided in half North-South by a line of pebbles, and the bones lie only to the East of this line",One of 9 mortuary deposits,Either in situ remains from a cremation pyre or token deposit of human bone in a pit where burning had occurred,"Oak charcoal, cinder. The sides of the pit were 'baked'","The pit is divided in half N-S by a line of pebbles, and the bones lie only to the E of this line",N/a,1,Indet.,Adult,c100g ,Not accessioned to MoA,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?post 2000 BC?,"Hewitt, I. & Beckensall, S. 1996. The Excavation of Cairns at Blawearie, Old Bewick, Northumberland. Proceedings of the Prehistoric Society 62, 255-74.",1980s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s",I Hewitt and S Beckensall,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawaerie cairn 1 southern pit ,Blawaerie cairn 1 cremation deposit 3,"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Pit,N-S,".88m long, .65m wide, .32m deep",88,65,32,.5m within the SSE perimeter of the kerb,South South East,Pit,One of 9 mortuary deposits,Multiple cremation,Backfilled with soil,Remains were placed within an inverted urn,N/a,2,"Male(?)(1), Indeterminate (1).",Adult (2),<1000g total,Not accessioned to MoA,Excavation report,Food Vessel ,"Undecorated body, with twisted cord impressions around rim",Enlarged Food Vessel Urn,Enlarged Food Vessel Urn,Y,N/a,N,N,2050-1700 BC,"Hewitt, I. & Beckensall, S. 1996. The Excavation of Cairns at Blawearie, Old Bewick, Northumberland. Proceedings of the Prehistoric Society 62, 255-74.",1980s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s. C14 note attempted from the cremated bone",I Hewitt and S Beckensall,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawaerie cairn 1 stone-lined pit,Blawaerie cairn 1 cremation deposit 2,"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Stone-lined pit ,E-W,".7m long, .42 wide, .1m deep.",70,42,32,"1m S of the N perimeter of the cairn, within the kerb",North,"Stone-lined pit oriented East-West. 9 sandstone cobbles lined the pit ""thus forming a cist-like feature"". A stone slab covered the deposit, and cobbles covered the slab",One of 9 mortuary deposits,Cremation ,The cremated bone was intermixed with the soil fill,"The cremated bone was intermixed with the soil fill. A stone slab covered the deposit, and cobbles covered the slab",N/a,1,Indet.,Adult or adolescent,"Report is opaque, possibly suggesting problems with post-excavation process. Only 100g of bone examined but sample size larger ",Not accessioned to MoA,Excavation report,None,N/a,N/a,N/a,N/a,N/a,N,N,?post 2000 BC?,"Hewitt, I. & Beckensall, S. 1996. The Excavation of Cairns at Blawearie, Old Bewick, Northumberland. Proceedings of the Prehistoric Society 62, 255-74.",1980s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s. C14 note attempted from the cremated bone",I Hewitt and S Beckensall,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawearie cairn 1 cist 1 ,Blawearie cairn 1 cist 1 ,"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Cist,?,"Unknown, but a pit at the centre of the cairn is c. 2m in diameter and is thought to be in the spot where the cist once stood. The pit is .4m deep",?,?,?,"Centre of cairn, cairn had a kerbed façade and was c. 9m in diameter",Centre,Cist,One of 9 mortuary deposits,Unknown,Unknown,Unknown,N/a,No bone recovered,N/a,N/a,N/a,N/a,N/a,Vessel of unknown type ,,Not possible,Not possible,N,N/a,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,pre-1860s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s. This feature was only reported from antiquarian activity by Greenwell and is not given a code by Hewitt and Beckensall",Unknown (see Greenwell 1877),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawearie cairn 1 cist A (Gw cist 2),Blawearie cairn 1 cist A (Gw cist 2),"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Cist,NW-SE,"1m long, .6m wide.",100,60,?,"To SW of cairn, 1.5m in from the kerb, parallel to cist B",South West,"Cist in pit cut into subsoil under cairn, cist oriented North West-South East. Hewitt and Beckensall state that the cist cover (1.5m by 1m) was pointed at one end and resembles a re-used kerbstone",One of 9 mortuary deposits,"Uncremated burial, ?crouched",None recorded,Not recorded,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,Food Vessel,,Vase Food Vessel,"Bipartite Vase Food Vessel, Gibson n1",Y (in Kinnes and Longworth),N/a,N,N/a,2150-1750 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1860s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s",W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawearie cairn 1 cist B (Gw cist 3),Blawearie cairn 1 cist B (Gw cist 3),"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Cist,NE-SW,.8m long by .7m by .4m,80,70,40,At SW perimeter of area enclosed by the ring cairn. Sits between cist A and the kerb,South West,"Cist in pit cut into subsoil under cairn, cist oriented North East-South West. Hewitt and Beckensall argue that the two cist stones re-located in the 1980s appear to be re-used kerbstones",One of 9 mortuary deposits,"Uncremated burial, ?crouched","Fill of cist described as a sand, some charcoal present",Flint found at centre of cist and necklace in N corner of cist,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,"Jet necklace, flint knife","Jet necklace consisted of c. 100 beads (Greenwell reports over 100, with 10 barrel-shaped and nine groups of disc-shaped beads - the barrels divide the discs, which are grouped in tens. Kinnes and Longworth report 4 barrel-shaped, 4 flattened barrel-shaped, 92 disc-shaped)",N/a,Barrel and disc jet bead necklace,N/a,Y,N,N/a,2200-1800 BC,Greenwell 1877 & Kinnes and Longworth 1985.,1860s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s",W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawearie cairn 1 cist C (Gw cist 4),Blawearie cairn 1 cist C (Gw cist 4),"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Cist,NE-SW,.7m by .4m by .4m,70,40,40,2m in from the NW perimeter of the kerb,North West,"Cist in pit cut into subsoil within cairn, cist oriented North East-South West. Capstone recorded by Hewitt and Beckensall as a re-used kerbstone. Two stones rather than one were used to form either end of the cist, one in front of the other",One of 9 mortuary deposits,"Uncremated burial, ?crouched",Space between cist walls and pit backfilled with cobbles,Not recorded,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750?,Greenwell 1877 & Kinnes and Longworth 1985.,1860s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s",W Greenwell,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blawearie cairn 1 cist D,Blawearie cairn 1 cist D,"Blawearie cairn (Eglingham, Gw200)",Northumberland,NU08172229,408170,622290,"Moorland, on ridge, within 1km of cupmarked rock outcrop, overlooked by fell sandstone ridges and outcrops",South,"Upland. Environmental data from the soil buried under cist C suggests a local mixture of open heath and grass with plantains present and hazel, birch and alder woodland",200m,Northumberland Sandstone Hills,Upland near to stream,Complex with five smaller satelite cairns,"Kerbed cairn c8m diameter. Evidence for pre-cairn activity includes spreads of oak charcoal, and the excavators claim large root channels found under the cairn and kerb attest to presence of large tree on site of cairn prior to construction. A central pit may attest to the digging out of a stump - this pit is cut by another, into which the excavators believe a post was inserted. Both these pits were cut by another into which the missing cist 1 was probably inserted. Hewitt and Beckensall argue for the kerb being constructed next around the area of this post. c.40 flat-faced kerbstones were used, some with square tops, some pointed and some bowed. The central area was then filled in with cobbles and boulders, and an external revetment of cobbles was lain down (note: could this alternatively have been a gradual accumulation of stones brought to site by visitors?). Excavators estimate a domed cairn not higher than 1m in the centre. They argue that all of the mortuary deposits are intrusive insertions into the cairn. 9 amber beads are reported from the 1980s excavations at the Blawearie sites as a whole but no context is given",8m,Kerbed ring cairn,Cist,WSW-ENE,"1.1m long, max 1m wide, .4m deep",110,100,40,.8m within perimeter of kerb to NNW of cairn,North North West,"Cist in pit cut into subsoil within cairn, cist oriented East North East-West South West. Oval shape, with walls built out of stone blocks",One of 9 mortuary deposits,"Uncremated burial, ?crouched",Partially backfilled with upcast,Not recorded,?,No bone recovered,N/a,N/a,N/a,N/a,N/a,None,N/a,N/a,N/a,N/a,N/a,N,N/a,?2300-1750?,"Hewitt, I. & Beckensall, S. 1996. The Excavation of Cairns at Blawearie, Old Bewick, Northumberland. Proceedings of the Prehistoric Society 62, 255-74.",1980s,"Site excavated both by Greenwell as Gw200 (Eglingham Parish) in 1865, and by Hewitt and Beckensall in 1980s",I Hewitt and S Beckensall,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
